date,description,amount,type,category,balance,mode
2022-01-01,unknown transaction,10000.0,,Cash Withdrawal,473292.87,ATM
2022-01-01,unknown transaction,10000.0,,Cash Withdrawal,463292.87,ATM
2022-01-02,AYUBRAJE,930.0,,Shopping,462362.87,UPI
2022-01-07,ABUTALAH,2000.0,,Major Expense,460362.87,UPI
2022-01-10,AGRAWALB,1000.0,,Shopping,459362.87,UPI
2022-01-10,GOASELEC,1800.0,,Shopping,457562.87,UPI
2022-01-10,GOASELEC,5000.0,,Major Expense,452562.87,UPI
2022-01-10,AGRAWALB,3000.0,,Major Expense,449562.87,UPI
2022-01-10,unknown transaction,2400.0,,Other,451962.87,NEFT
2022-01-12,NAFEESAB,1.0,,Personal Transfer,451963.87,UPI
2022-01-12,NAFEESAB,1000.0,,Shopping,452963.87,UPI
2022-01-12,MAHAMMADH,1000.0,,Shopping,451963.87,UPI
2022-01-12,PHONEPE,275.0,,Small Purchase,451688.87,UPI
2022-01-12,PHONEPE,85.0,,Personal Transfer,451603.87,UPI
2022-01-13,FLIPKART,563.0,,Shopping,451040.87,UPI
2022-01-14,BUDESAHEB,7000.0,,Major Expense,444040.87,UPI
2022-01-22,FLIPKART,189.0,,Shopping,443851.87,UPI
2022-01-25,unknown transaction,7.09,,Bank Charges,443858.96,ECS
2022-01-29,unknown transaction,2400.0,,Other,446258.96,NEFT
2022-01-29,unknown transaction,142.0,,Other,446116.96,DEBIT CARD ANNUAL
2022-02-01,unknown transaction,3187.0,,Other,449303.96,SBINT
2022-02-02,AYUBRAJE,750.0,,Shopping,448553.96,UPI
2022-02-04,STATEBAN,19600.0,,Major Expense,428953.96,UPI
2022-02-04,unknown transaction,10000.0,,Cash Withdrawal,418953.96,ATM
2022-02-04,unknown transaction,10000.0,,Cash Withdrawal,408953.96,ATM
2022-02-05,unknown transaction,52521.0,,Income,461474.96,NEFT
2022-02-05,BUDESAHEB,2000.0,,Major Expense,459474.96,UPI
2022-02-10,PHONEPE,302.0,,Small Purchase,459172.96,UPI
2022-02-10,PHONEPE,85.0,,Personal Transfer,459087.96,UPI
2022-02-11,ABUTALAH,2000.0,,Major Expense,459487.96,UPI
2022-02-11,unknown transaction,2400.0,,Other,461487.96,NEFT
2022-02-16,BUDESAHEB,600.0,,Shopping,458887.96,UPI
2022-02-21,unknown transaction,112.0,,Other,458999.96,ECS
2022-02-21,unknown transaction,8.0,,Bank Charges,459007.96,ECS
2022-02-21,unknown transaction,59.0,,Bank Charges,458948.96,STOCK CHRG
2022-02-21,unknown transaction,59.0,,UNCATEGORIZED,458889.96,STOCK CHRG
2022-02-21,ABDULHAME,21000.0,,Major Expense,437889.96,UPI
2022-02-24,NAFEESAB,4080.0,,Major Expense,433809.96,UPI
2022-02-26,unknown transaction,10000.0,,Cash Withdrawal,423809.96,ATM
2022-02-26,unknown transaction,10000.0,,Cash Withdrawal,413809.96,ATM
2022-03-01,ABUTALAH,500.0,,Shopping,413309.96,UPI
2022-03-01,unknown transaction,2400.0,,UNCATEGORIZED,415709.96,NEFT
2022-03-01,AYUBRAJE,800.0,,Shopping,414909.96,UPI
2022-03-04,SANGALLI,5400.0,,Major Expense,409508.96,UPI
2022-03-04,SANGALLI,1.0,,Personal Transfer,414908.96,UPI
2022-03-06,ABUTALAH,1000.0,,Shopping,408508.96,UPI
